"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Georgia","2012","FST","Revenue from federal sources Total (%)","State and Local ","10.6"
"Annual Survey of School System Finance","Georgia","2013","FST","Revenue from federal sources Total (%)","State and Local ","10.3"
"Annual Survey of School System Finance","Georgia","2014","FST","Revenue from federal sources Total (%)","State and Local ","10.1"
"Annual Survey of School System Finance","Georgia","2015","FST","Revenue from federal sources Total (%)","State and Local ","9.9"
"Annual Survey of School System Finance","Georgia","2016","FST","Revenue from federal sources Total (%)","State and Local ","9.3"
"Annual Survey of School System Finance","Georgia","2017","FST","Revenue from federal sources Total (%)","State and Local ","9.1"
"Annual Survey of School System Finance","Georgia","2018","FST","Revenue from federal sources Total (%)","State and Local ","8.5"
"Annual Survey of School System Finance","Georgia","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","3.0"
"Annual Survey of School System Finance","Georgia","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Georgia","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","2.8"
"Annual Survey of School System Finance","Georgia","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","2.6"
"Annual Survey of School System Finance","Georgia","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","2.7"
"Annual Survey of School System Finance","Georgia","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","2.6"
"Annual Survey of School System Finance","Georgia","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","2.5"
"Annual Survey of School System Finance","Georgia","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.2"
"Annual Survey of School System Finance","Georgia","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.6"
"Annual Survey of School System Finance","Georgia","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Georgia","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Georgia","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Georgia","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Georgia","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Georgia","2012","LST","Revenue from local sources Total (%)","State and Local ","46.9"
"Annual Survey of School System Finance","Georgia","2013","LST","Revenue from local sources Total (%)","State and Local ","46.2"
"Annual Survey of School System Finance","Georgia","2014","LST","Revenue from local sources Total (%)","State and Local ","45.9"
"Annual Survey of School System Finance","Georgia","2015","LST","Revenue from local sources Total (%)","State and Local ","45.4"
"Annual Survey of School System Finance","Georgia","2016","LST","Revenue from local sources Total (%)","State and Local ","45.5"
"Annual Survey of School System Finance","Georgia","2017","LST","Revenue from local sources Total (%)","State and Local ","45.7"
"Annual Survey of School System Finance","Georgia","2018","LST","Revenue from local sources Total (%)","State and Local ","45.7"
"Annual Survey of School System Finance","Georgia","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","41.7"
"Annual Survey of School System Finance","Georgia","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","40.9"
"Annual Survey of School System Finance","Georgia","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","39.6"
"Annual Survey of School System Finance","Georgia","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","39.2"
"Annual Survey of School System Finance","Georgia","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","39.0"
"Annual Survey of School System Finance","Georgia","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","38.6"
"Annual Survey of School System Finance","Georgia","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","38.6"
"Annual Survey of School System Finance","Georgia","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.1"
"Annual Survey of School System Finance","Georgia","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","27.1"
"Annual Survey of School System Finance","Georgia","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","27.2"
"Annual Survey of School System Finance","Georgia","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","28.0"
"Annual Survey of School System Finance","Georgia","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","27.1"
"Annual Survey of School System Finance","Georgia","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","27.0"
"Annual Survey of School System Finance","Georgia","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","26.7"
"Annual Survey of School System Finance","Georgia","2012","SST","Revenue from state sources Total (%)","State and Local ","42.5"
"Annual Survey of School System Finance","Georgia","2013","SST","Revenue from state sources Total (%)","State and Local ","43.4"
"Annual Survey of School System Finance","Georgia","2014","SST","Revenue from state sources Total (%)","State and Local ","44.0"
"Annual Survey of School System Finance","Georgia","2015","SST","Revenue from state sources Total (%)","State and Local ","44.7"
"Annual Survey of School System Finance","Georgia","2016","SST","Revenue from state sources Total (%)","State and Local ","45.2"
"Annual Survey of School System Finance","Georgia","2017","SST","Revenue from state sources Total (%)","State and Local ","45.2"
"Annual Survey of School System Finance","Georgia","2018","SST","Revenue from state sources Total (%)","State and Local ","45.8"
"Annual Survey of School System Finance","Georgia","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Georgia","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.3"
"Annual Survey of School System Finance","Hawaii","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Hawaii","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Hawaii","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.5"
"Annual Survey of School System Finance","Hawaii","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Hawaii","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Hawaii","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.6"
"Annual Survey of School System Finance","Hawaii","2012","FST","Revenue from federal sources Total (%)","State and Local ","12.6"
"Annual Survey of School System Finance","Hawaii","2013","FST","Revenue from federal sources Total (%)","State and Local ","13.3"
"Annual Survey of School System Finance","Hawaii","2014","FST","Revenue from federal sources Total (%)","State and Local ","10.6"
"Annual Survey of School System Finance","Hawaii","2015","FST","Revenue from federal sources Total (%)","State and Local ","9.6"
"Annual Survey of School System Finance","Hawaii","2016","FST","Revenue from federal sources Total (%)","State and Local ","8.6"
"Annual Survey of School System Finance","Hawaii","2017","FST","Revenue from federal sources Total (%)","State and Local ","8.9"
"Annual Survey of School System Finance","Hawaii","2018","FST","Revenue from federal sources Total (%)","State and Local ","8.3"
"Annual Survey of School System Finance","Hawaii","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","1.6"
"Annual Survey of School System Finance","Hawaii","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Hawaii","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","1.4"
"Annual Survey of School System Finance","Hawaii","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","1.3"
"Annual Survey of School System Finance","Hawaii","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","1.2"
"Annual Survey of School System Finance","Hawaii","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","1.5"
"Annual Survey of School System Finance","Hawaii","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","1.3"
"Annual Survey of School System Finance","Hawaii","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2012","LST","Revenue from local sources Total (%)","State and Local ","2.2"
"Annual Survey of School System Finance","Hawaii","2013","LST","Revenue from local sources Total (%)","State and Local ","2.5"
"Annual Survey of School System Finance","Hawaii","2014","LST","Revenue from local sources Total (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Hawaii","2015","LST","Revenue from local sources Total (%)","State and Local ","2.3"
"Annual Survey of School System Finance","Hawaii","2016","LST","Revenue from local sources Total (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Hawaii","2017","LST","Revenue from local sources Total (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Hawaii","2018","LST","Revenue from local sources Total (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Hawaii","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Hawaii","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","37.1"
"Annual Survey of School System Finance","Hawaii","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","42.8"
"Annual Survey of School System Finance","Hawaii","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","39.9"
"Annual Survey of School System Finance","Hawaii","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","41.1"
"Annual Survey of School System Finance","Hawaii","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","39.4"
"Annual Survey of School System Finance","Hawaii","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","44.1"
"Annual Survey of School System Finance","Hawaii","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","41.4"
"Annual Survey of School System Finance","Hawaii","2012","SST","Revenue from state sources Total (%)","State and Local ","85.3"
"Annual Survey of School System Finance","Hawaii","2013","SST","Revenue from state sources Total (%)","State and Local ","84.2"
"Annual Survey of School System Finance","Hawaii","2014","SST","Revenue from state sources Total (%)","State and Local ","87.3"
"Annual Survey of School System Finance","Hawaii","2015","SST","Revenue from state sources Total (%)","State and Local ","88.1"
"Annual Survey of School System Finance","Hawaii","2016","SST","Revenue from state sources Total (%)","State and Local ","89.4"
"Annual Survey of School System Finance","Hawaii","2017","SST","Revenue from state sources Total (%)","State and Local ","89.1"
"Annual Survey of School System Finance","Hawaii","2018","SST","Revenue from state sources Total (%)","State and Local ","89.9"
"Annual Survey of School System Finance","Hawaii","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Hawaii","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.9"
"Annual Survey of School System Finance","Idaho","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.7"
"Annual Survey of School System Finance","Idaho","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.8"
"Annual Survey of School System Finance","Idaho","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.7"
"Annual Survey of School System Finance","Idaho","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.5"
"Annual Survey of School System Finance","Idaho","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.5"
"Annual Survey of School System Finance","Idaho","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.2"
"Annual Survey of School System Finance","Idaho","2012","FST","Revenue from federal sources Total (%)","State and Local ","13.4"
"Annual Survey of School System Finance","Idaho","2013","FST","Revenue from federal sources Total (%)","State and Local ","11.8"
"Annual Survey of School System Finance","Idaho","2014","FST","Revenue from federal sources Total (%)","State and Local ","11.2"
"Annual Survey of School System Finance","Idaho","2015","FST","Revenue from federal sources Total (%)","State and Local ","10.7"
"Annual Survey of School System Finance","Idaho","2016","FST","Revenue from federal sources Total (%)","State and Local ","10.6"
"Annual Survey of School System Finance","Idaho","2017","FST","Revenue from federal sources Total (%)","State and Local ","9.8"
"Annual Survey of School System Finance","Idaho","2018","FST","Revenue from federal sources Total (%)","State and Local ","9.6"
"Annual Survey of School System Finance","Idaho","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Idaho","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Idaho","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Idaho","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Idaho","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","1.6"
"Annual Survey of School System Finance","Idaho","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","1.6"
"Annual Survey of School System Finance","Idaho","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","1.5"
"Annual Survey of School System Finance","Idaho","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.0"
"Annual Survey of School System Finance","Idaho","2012","LST","Revenue from local sources Total (%)","State and Local ","24.0"
"Annual Survey of School System Finance","Idaho","2013","LST","Revenue from local sources Total (%)","State and Local ","24.8"
"Annual Survey of School System Finance","Idaho","2014","LST","Revenue from local sources Total (%)","State and Local ","25.5"
"Annual Survey of School System Finance","Idaho","2015","LST","Revenue from local sources Total (%)","State and Local ","25.5"
"Annual Survey of School System Finance","Idaho","2016","LST","Revenue from local sources Total (%)","State and Local ","25.2"
"Annual Survey of School System Finance","Idaho","2017","LST","Revenue from local sources Total (%)","State and Local ","25.1"
"Annual Survey of School System Finance","Idaho","2018","LST","Revenue from local sources Total (%)","State and Local ","24.9"
"Annual Survey of School System Finance","Idaho","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","20.4"
"Annual Survey of School System Finance","Idaho","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.3"
"Annual Survey of School System Finance","Idaho","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.9"
"Annual Survey of School System Finance","Idaho","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.9"
"Annual Survey of School System Finance","Idaho","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.9"
"Annual Survey of School System Finance","Idaho","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.7"
"Annual Survey of School System Finance","Idaho","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","21.3"
"Annual Survey of School System Finance","Idaho","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","49.2"
"Annual Survey of School System Finance","Idaho","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","48.9"
"Annual Survey of School System Finance","Idaho","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","49.0"
"Annual Survey of School System Finance","Idaho","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","48.8"
"Annual Survey of School System Finance","Idaho","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","49.2"
"Annual Survey of School System Finance","Idaho","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","49.4"
"Annual Survey of School System Finance","Idaho","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","49.4"
"Annual Survey of School System Finance","Idaho","2012","SST","Revenue from state sources Total (%)","State and Local ","62.5"
"Annual Survey of School System Finance","Idaho","2013","SST","Revenue from state sources Total (%)","State and Local ","63.4"
"Annual Survey of School System Finance","Idaho","2014","SST","Revenue from state sources Total (%)","State and Local ","63.3"
"Annual Survey of School System Finance","Idaho","2015","SST","Revenue from state sources Total (%)","State and Local ","63.7"
"Annual Survey of School System Finance","Idaho","2016","SST","Revenue from state sources Total (%)","State and Local ","64.2"
"Annual Survey of School System Finance","Idaho","2017","SST","Revenue from state sources Total (%)","State and Local ","65.0"
"Annual Survey of School System Finance","Idaho","2018","SST","Revenue from state sources Total (%)","State and Local ","65.5"
"Annual Survey of School System Finance","Idaho","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Idaho","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Illinois","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.2"
"Annual Survey of School System Finance","Illinois","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.4"
"Annual Survey of School System Finance","Illinois","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Illinois","2016","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Illinois","2017","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Illinois","2018","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Illinois","2012","FST","Revenue from federal sources Total (%)","State and Local ","8.3"
"Annual Survey of School System Finance","Illinois","2013","FST","Revenue from federal sources Total (%)","State and Local ","7.9"
"Annual Survey of School System Finance","Illinois","2014","FST","Revenue from federal sources Total (%)","State and Local ","7.6"
"Annual Survey of School System Finance","Illinois","2015","FST","Revenue from federal sources Total (%)","State and Local ","7.2"
"Annual Survey of School System Finance","Illinois","2016","FST","Revenue from federal sources Total (%)","State and Local ","7.2"
"Annual Survey of School System Finance","Illinois","2017","FST","Revenue from federal sources Total (%)","State and Local ","6.5"
"Annual Survey of School System Finance","Illinois","2018","FST","Revenue from federal sources Total (%)","State and Local ","6.2"
"Annual Survey of School System Finance","Illinois","2012","LSCT","Revenue from local sources Charges (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Illinois","2013","LSCT","Revenue from local sources Charges (%)","State and Local ","2.0"
"Annual Survey of School System Finance","Illinois","2014","LSCT","Revenue from local sources Charges (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Illinois","2015","LSCT","Revenue from local sources Charges (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Illinois","2016","LSCT","Revenue from local sources Charges (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Illinois","2017","LSCT","Revenue from local sources Charges (%)","State and Local ","1.8"
"Annual Survey of School System Finance","Illinois","2018","LSCT","Revenue from local sources Charges (%)","State and Local ","1.7"
"Annual Survey of School System Finance","Illinois","2012","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.4"
"Annual Survey of School System Finance","Illinois","2013","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.4"
"Annual Survey of School System Finance","Illinois","2014","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.4"
"Annual Survey of School System Finance","Illinois","2015","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.5"
"Annual Survey of School System Finance","Illinois","2016","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.8"
"Annual Survey of School System Finance","Illinois","2017","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.7"
"Annual Survey of School System Finance","Illinois","2018","LSNLGT","Revenue from local sources Other local governments (%)","State and Local ","0.8"
"Annual Survey of School System Finance","Illinois","2012","LST","Revenue from local sources Total (%)","State and Local ","56.9"
"Annual Survey of School System Finance","Illinois","2013","LST","Revenue from local sources Total (%)","State and Local ","56.8"
"Annual Survey of School System Finance","Illinois","2014","LST","Revenue from local sources Total (%)","State and Local ","55.7"
"Annual Survey of School System Finance","Illinois","2015","LST","Revenue from local sources Total (%)","State and Local ","55.0"
"Annual Survey of School System Finance","Illinois","2016","LST","Revenue from local sources Total (%)","State and Local ","55.3"
"Annual Survey of School System Finance","Illinois","2017","LST","Revenue from local sources Total (%)","State and Local ","52.4"
"Annual Survey of School System Finance","Illinois","2018","LST","Revenue from local sources Total (%)","State and Local ","51.8"
"Annual Survey of School System Finance","Illinois","2012","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","52.7"
"Annual Survey of School System Finance","Illinois","2013","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","52.5"
"Annual Survey of School System Finance","Illinois","2014","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","51.8"
"Annual Survey of School System Finance","Illinois","2015","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","51.1"
"Annual Survey of School System Finance","Illinois","2016","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","51.2"
"Annual Survey of School System Finance","Illinois","2017","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","48.4"
"Annual Survey of School System Finance","Illinois","2018","LSTPGCT","Revenue from local sources Taxes and parent government contributions (%)","State and Local ","47.4"
"Annual Survey of School System Finance","Illinois","2012","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","17.5"
"Annual Survey of School System Finance","Illinois","2013","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","16.7"
"Annual Survey of School System Finance","Illinois","2014","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","16.4"
"Annual Survey of School System Finance","Illinois","2015","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","15.6"
"Annual Survey of School System Finance","Illinois","2016","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","15.7"
"Annual Survey of School System Finance","Illinois","2017","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","15.8"
"Annual Survey of School System Finance","Illinois","2018","SSGFAT","Revenue from state sources General formula assistance (%)","State and Local ","17.5"
"Annual Survey of School System Finance","Illinois","2012","SST","Revenue from state sources Total (%)","State and Local ","34.8"
"Annual Survey of School System Finance","Illinois","2013","SST","Revenue from state sources Total (%)","State and Local ","35.3"
"Annual Survey of School System Finance","Illinois","2014","SST","Revenue from state sources Total (%)","State and Local ","36.7"
"Annual Survey of School System Finance","Illinois","2015","SST","Revenue from state sources Total (%)","State and Local ","37.8"
"Annual Survey of School System Finance","Illinois","2016","SST","Revenue from state sources Total (%)","State and Local ","37.5"
"Annual Survey of School System Finance","Illinois","2017","SST","Revenue from state sources Total (%)","State and Local ","41.0"
"Annual Survey of School System Finance","Illinois","2018","SST","Revenue from state sources Total (%)","State and Local ","42.0"
"Annual Survey of School System Finance","Illinois","2012","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2013","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2014","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2015","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2016","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2017","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Illinois","2018","TOTREVT","Elementary-secondary education total revenue percentage","State and Local ","100.0"
"Annual Survey of School System Finance","Indiana","2012","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Indiana","2013","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","2.1"
"Annual Survey of School System Finance","Indiana","2014","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.9"
"Annual Survey of School System Finance","Indiana","2015","FSDSTITT","Revenue from federal sources Title 1 (%)","State and Local ","1.9"
